행 레이블,개수 : Author,공식채널/official,media,UGC,기타
1theK (원더케이),750,1,,,
SMTOWN,535,1,,,
jypentertainment,195,1,,,
starshipTV,152,1,,,
BIGBANG,133,1,,,
2NE1,88,1,,,
RealVIXX,87,1,,,
United CUBE (CUBE Entertainment Official YouTube Channel),86,1,,,
ibighit,71,1,,,
ASTRO 아스트로,68,1,,,
남상미,67,1,,,
2am,65,1,,,
OfficialEpikHigh,64,1,,,
4Minute 포미닛(Official YouTube Channel),63,1,,,
2pm,61,1,,,
Crayon Pop,55,1,,,
gugudan,54,1,,,
officialpsy,53,1,,,
Areia Creations,52,1,,,
BLACKPINK,51,1,,,
WINNER,50,1,,,
SEVENTEEN,50,1,,,
YG ENTERTAINMENT,48,1,,,
VICTON 빅톤,48,1,,,
wondergirls,47,1,,,
B1A4 OFFICIAL +,46,1,,,
AOA (에이오에이),45,1,,,
OFFICIAL LABOUM,42,1,,,
EXID_OFFICIAL,41,1,,,
SF9,39,1,,,
Apink (에이핑크),39,1,,,
HUNUS Entertainment,38,1,,,
GOT7,35,1,,,
U-KISS,34,1,,,
BTOB 비투비 (Official YouTube Channel),31,1,,,
KANGELMIYOUN,26,1,,,
MAMAMOO,25,1,,,
CNBLUE (씨엔블루),24,1,,,
OfficialDaraOnline,22,1,,,
Lukas - 루카스,22,1,,,
RAIN's Official Channel,21,1,,,
DAY6,21,1,,,
BEAST 비스트 (Official YouTube Channel),21,1,,,
철이,20,1,,,
YG Family Tube,20,1,,,
에릭남 매력 TV,18,1,,,
박지윤 크리에이티브,18,1,,,
Warner Music Japan,18,1,,,
2AMClubVEVO,18,1,,,
iKON,15,1,,,
DARA TV,15,1,,,
워너뮤직코리아 (Warner Music Korea),14,1,,,
CNBLUEofficialjp,14,1,,,
DisneyMusicVEVO,14,1,,,
Happyface entertainment,12,1,,,
